housing_type,bedrooms,bathrooms,guest_toilet,parking_space,district,address,rent_per_annum, district_code,local government
flat / apartment,3,3,0,3,ajah,6nos Of 3 Bedroom Flat3 BEDROOM BLOCK OF FLATS FOR RENT Ocean Palm Estate Sangotedo Ajah Lagos   Updated Today,230000000,5,eti osa
flat / apartment,3,3,0,3,allen avenue,5units Of 3bedroom Flats And 1unit Of 2bedroom Flat3 BEDROOM BLOCK OF FLATS FOR RENT Allen Avenue Ikeja Lagos   Updated Today,230000000,8,ikeja
flat / apartment,3,3,1,2,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,4,4,1,4,ikoyi,Luxury 4 Bedroom Maisonette In A Gated Neighborhood4 BEDROOM BLOCK OF FLATS FOR RENT Ikoyi Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
